filterNo, filterSize, epochs, batch_size, drop_rate, activFunction, optimizer, Loss, Accuracy
32,3,50,2,0.3,relu,Adam,0.581903322,0.8
64,3,50,2,0.3,relu,Adam,0.619271186,0.65
32,9,50,2,0.3,relu,Adam,7.971192396,0.5
64,5,50,2,0.3,relu,Adam,0.693152773,0.5
64,7,50,2,0.3,relu,Adam,7.971192372,0.5
64,9,50,2,0.3,relu,Adam,0.693149149,0.5
128,3,50,2,0.3,relu,Adam,0.693149573,0.5
128,5,50,2,0.3,relu,Adam,0.6931472,0.5
128,7,50,2,0.3,relu,Adam,0.693167675,0.5
128,9,50,2,0.3,relu,Adam,8.059047719,0.5
32,5,50,2,0.3,relu,Adam,0.730002624,0.45
32,7,50,2,0.3,relu,Adam,0.738244927,0.4
